GeneSymbol	FullName	PreviousSymbols	Synonyms	Chromosome
ICOSLG	inducible T cell costimulator ligand	ICOSL	B7RP1,B7RP-1,KIAA0653,GL50,CD275,ICOS-L,B7H2,B7-H2	21q22.3
CD276	CD276 molecule		B7-H3,B7H3,B7RP-2	15q24.1
BTN3A1	butyrophilin subfamily 3 member A1		BTN3.1,BT3.1,CD277,BTF5	6p22.2
ICOS	inducible T cell costimulator		CD278,AILIM	2q33.2
PDCD1	programmed cell death 1	SLEB2	CD279,PD1,PD-1,hSLE1	2q37.3
MRC2	mannose receptor C type 2		ENDO180,CD280,KIAA0709,CLEC13E	17q23
TLR1	toll like receptor 1		KIAA0012,rsc786,CD281	4p14
TLR2	toll like receptor 2		CD282,TIL4	4q31.3
TLR3	toll like receptor 3		CD283	4q35.1
TLR4	toll like receptor 4		ARMD10,TLR-4,hToll,CD284	9q33.1
TLR6	toll like receptor 6		CD286	4p14
TLR8	toll like receptor 8		CD288	Xp22.2
TLR9	toll like receptor 9		CD289	3p21.2
TLR10	toll like receptor 10		CD290	4p14
BMPR1A	bone morphogenetic protein receptor type 1A	ACVRLK3	CD292,ALK3	10q23.2
BMPR1B	bone morphogenetic protein receptor type 1B		ALK6,CDw293	4q22.3
PTGDR2	prostaglandin D2 receptor 2	GPR44	CD294,DP2,CRTH2	11q12.2
LEPR	leptin receptor		OBR,CD295	1p31.3
ART1	ADP-ribosyltransferase 1		CD296,ART2	11p15.4
ART4	ADP-ribosyltransferase 4 (Dombrock blood group)	DO	DOK1,CD297	12p12.3
ATP1B3	ATPase Na+/K+ transporting subunit beta 3		CD298,FLJ29027	3q23
CLEC4M	C-type lectin domain family 4 member M	CD299, CD209L	HP10347,DC-SIGNR,LSIGN,DCSIGNR,DC-SIGN2	19p13.2
CD300A	CD300a molecule		Irp60,CMRF35H,CMRF-35-H9,IRC1,IRC2,IGSF12	17q25.1
CD300C	CD300c molecule		CMRF35,LIR,CMRF-35A,CMRF35A,IGSF16	17q25.1
CD300E	CD300e molecule	CD300LE	IREM2,CLM2	17q25.1
CLEC10A	C-type lectin domain containing 10A	CLECSF13, CLECSF14	HML,CD301,HML2	17p13.1
CD302	CD302 molecule		DCL-1,KIAA0022,BIMLEC,CLEC13A	2q24.2
CLEC4C	C-type lectin domain family 4 member C	CLECSF11, CLECSF7	HECL,BDCA2,CD303,DLEC	12p13.31
NRP1	neuropilin 1		VEGF165R,NRP,CD304	10p11.22
LAIR1	leukocyte associated immunoglobulin like receptor 1		CD305	19q13.42
LAIR2	leukocyte associated immunoglobulin like receptor 2		CD306	19q13.42
FCRL1	Fc receptor like 1		IFGP1,IRTA5,CD307a,FCRH1	1q23.1
FCRL2	Fc receptor like 2	SPAP1	FCRH2,CD307b,IRTA4	1q23.1
FCRL3	Fc receptor like 3		SPAP2d,IFGP3,SPAP2a,FCRH3,SPAP2,SPAP2b,IRTA3,CD307c,SPAP2e,SPAP2c	1q23.1
FCRL4	Fc receptor like 4		IGFP2,FCRH4,CD307d,IRTA1	1q23.1
FCRL5	Fc receptor like 5		FCRH5,CD307e,BXMAS1,IRTA2	1q23.1
KDR	kinase insert domain receptor		FLK1,VEGFR2,CD309,VEGFR	4q12
ADGRE2	adhesion G protein-coupled receptor E2	EMR2	CD312	19p13.12
KLRK1	killer cell lectin like receptor K1	D12S2489E	KLR,NKG2D,CD314,NKG2-D	12p13.2
PTGFRN	prostaglandin F2 receptor inhibitor		CD9P-1,FPRP,KIAA1436,FLJ11001,SMAP-6,CD315,EWI-F	1p13.1
IGSF8	immunoglobulin superfamily member 8		EWI2,PGRL,CD81P3,CD316	1q23.2
BST2	bone marrow stromal cell antigen 2		CD317,tetherin	19p13.11
CDCP1	CUB domain containing protein 1		SIMA135,CD318	3p21.31
SLAMF7	SLAM family member 7		19A,CD319,CRACC,CS1	1q23.3
CD320	CD320 molecule		8D6,8D6A	19p13.2
F11R	F11 receptor	JAM1	JAMA,JAM-A,JCAM,PAM-1,CD321,JAM-1	1q23.3
JAM2	junctional adhesion molecule 2	C21orf43	JAM-B,VE-JAM,CD322,JAMB	21q21.3
CDH1	cadherin 1	UVO	CD324,uvomorulin	16q22.1
CDH2	cadherin 2	NCAD	CD325,CDHN	18q12.1
EPCAM	epithelial cell adhesion molecule	M4S1, MIC18, TACSTD1	KS1/4,TROP1,TACST-1,MK-1,ESA,323/A3,CD326,Ep-CAM,Ly74,EGP40,KSA,17-1A,MOC31,HEA125,CO-17A,MH99,GA733-2,EGP-2,EGP34	2p21
SIGLEC6	sialic acid binding Ig like lectin 6	CD33L, CD33L1	CD327,SIGLEC-6,OB-BP1	19q13.41
SIGLEC7	sialic acid binding Ig like lectin 7	SIGLEC19P, SIGLECP2	CD328,QA79,p75/AIRM1,SIGLEC-7	19q13.41
SIGLEC9	sialic acid binding Ig like lectin 9		CD329	19q13.3-q13.4
FGFR1	fibroblast growth factor receptor 1	FLT2, KAL2	CEK,N-SAM,H5,BFGFR,FLG,H3,H2,CD331,H4	8p11.23
FGFR2	fibroblast growth factor receptor 2	KGFR, BEK, CFD1, JWS	CD332,ECT1,TK25,CEK3,TK14,K-SAM	10q26.13
FGFR3	fibroblast growth factor receptor 3	ACH	JTK4,CD333,CEK2	4p16.3
FGFR4	fibroblast growth factor receptor 4		CD334,JTK2	5q35.2
NCR1	natural cytotoxicity triggering receptor 1	LY94	CD335,NK-p46,NKP46	19q13.42
NCR2	natural cytotoxicity triggering receptor 2	LY95	CD336,NK-p44	6p21.1
NCR3	natural cytotoxicity triggering receptor 3	LY117	1C7,CD337,NKp30	6p21.33
ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)		BCRP,CD338,MXR,ABCP,EST157481	4q22.1
JAG1	jagged 1	AGS, JAGL1	CD339,AWS,HJ1,AHD	20p12.2
ERBB2	erb-b2 receptor tyrosine kinase 2	NGL	CD340,HER2,NEU,HER-2	17q12
FZD4	frizzled class receptor 4	EVR1	CD344	11q14.2
FZD9	frizzled class receptor 9		FZD3,CD349	7q11.23
FZD10	frizzled class receptor 10		CD350	12q24.33
FCAMR	Fc fragment of IgA and IgM receptor		FCA/MR,FKSG87,CD351	1q32.1
SLAMF6	SLAM family member 6		NTB-A,CD352,SF2000,NTBA,KALIb,Ly108,KALI	1q23.2-q23.3
SLAMF8	SLAM family member 8		CD353,SBBI42,BLAME	1q23.2
TREM1	triggering receptor expressed on myeloid cells 1		TREM-1,CD354	6p21.1
CRTAM	cytotoxic and regulatory T cell molecule		CD355	11q24.1
TNFRSF18	TNF receptor superfamily member 18		AITR,GITR,CD357	1p36.33
TNFRSF21	TNF receptor superfamily member 21		CD358,DR6	6p12.3
IL21R	interleukin 21 receptor		CD360	16p12.1
EVI2B	ecotropic viral integration site 2B		EVDB,CD361,D17S376	17q11.2
SDC2	syndecan 2	HSPG, HSPG1	fibroglycan,SYND2,CD362	8q22.1
S1PR1	sphingosine-1-phosphate receptor 1	EDG1	CD363,D1S3362,edg-1	1p21.2
PI16	peptidase inhibitor 16		MSMBBP,MGC45378,CD364,dJ90K10.5	6p21.2
HAVCR1	hepatitis A virus cellular receptor 1		CD365,TIM1,KIM1,HAVCR,TIMD1,TIM-1,HAVCR-1	5q33.3
CLEC4A	C-type lectin domain family 4 member A	CLECSF6	DCIR,CD367,DDB27	12p13.31
CLEC4D	C-type lectin domain family 4 member D	CLECSF8	Dectin-3,Mpcl,CD368,MCL	12p13.31
CLEC7A	C-type lectin domain containing 7A	CLECSF12	hDectin-1,CD369,dectin-1,SCARE2	12p13.2
CLEC9A	C-type lectin domain containing 9A		HEEE9341,CD370,DNGR-1,UNQ9341	12p13.2
CLEC12A	C-type lectin domain family 12 member A		CD371,MICL,CLL-1,DCAL-2	12p13.31
